Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;04 Balears, Illes;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;5.772.632
Total Nacional;04 Balears, Illes;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;11.077.494
Total Nacional;04 Balears, Illes;Valor;J. Información y comunicaciones;2021(P);570.190
Total Nacional;04 Balears, Illes;Valor;J. Información y comunicaciones;2020;538.044
Total Nacional;04 Balears, Illes;Valor;J. Información y comunicaciones;2019;575.767
Total Nacional;04 Balears, Illes;Valor;K. Actividades financieras y de seguros;2021(P);1.011.843
Total Nacional;04 Balears, Illes;Valor;K. Actividades financieras y de seguros;2020;1.000.235
Total Nacional;04 Balears, Illes;Valor;K. Actividades financieras y de seguros;2019;966.589
Total Nacional;04 Balears, Illes;Valor;L. Actividades inmobiliarias;2021(P);4.718.453
Total Nacional;04 Balears, Illes;Valor;L. Actividades inmobiliarias;2020;4.593.488
Total Nacional;04 Balears, Illes;Valor;L. Actividades inmobiliarias;2019;4.612.795
Total Nacional;04 Balears, Illes;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);2.385.970
Total Nacional;04 Balears, Illes;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;2.165.073
Total Nacional;04 Balears, Illes;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.948.407
Total Nacional;04 Balears, Illes;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);4.865.261
Total Nacional;04 Balears, Illes;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2020;4.714.066
Total Nacional;04 Balears, Illes;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2019;4.601.399
Total Nacional;04 Balears, Illes;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2021(P);1.205.438
Total Nacional;04 Balears, Illes;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2020;1.146.714
Total Nacional;04 Balears, Illes;Valor;R_U. Actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;2019;1.574.026
Total Nacional;04 Balears, Illes;Valor;Valor añadido bruto total;2021(P);27.170.811
Total Nacional;04 Balears, Illes;Valor;Valor añadido bruto total;2020;23.905.508
Total Nacional;04 Balears, Illes;Valor;Valor añadido bruto total;2019;30.777.649
Total Nacional;04 Balears, Illes;Valor;Impuestos netos sobre los productos;2021(P);2.860.857
Total Nacional;04 Balears, Illes;Valor;Impuestos netos sobre los productos;2020;2.292.582
Total Nacional;04 Balears, Illes;Valor;Impuestos netos sobre los productos;2019;3.157.653
Total Nacional;04 Balears, Illes;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.031.668
